"Domain","Process LEVEL 1 SEPT 2022","Process LEVEL 2 SEPT 2022","Process","Cost Type","RST Applicability","Process Description","Owner Grouping. (level comex-1)","SBU - Activity Name","Organizational Unit ID","OWNER  - SEPT 2022","FUNCTION","Status","Volume Name","Volume Description","HIVE Project","Customer HO / Agency","Transactional process","HO department in Charge","CARRIERS","Volume Source","Source link","Vol_Include","Business Process Owner","Process completed","Attachments","Owner","Main","Created By","Process Active From","Process Active to","Content Type","Modified","Created","Modified By","ID","Remarks"
"Shipping Ops, Log & Interm","Container Fleet Management","Stock Management","Stock Reconciliation","Delivery","Yes",,"Ind. Assets - Container Fleet Management","GBS - Container Fleet Management Shipping Delivery","OGU_201701","Industrial Assets","Equipment Mgt","Active","Per nb of stock reports",,"Stock Management","Agency",,"HO Logistics Dept","SHIPPING","<span style=""color&#58;black;"">​<span style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;background-color&#58;rgb(255, 255, 255);display&#58;inline !important;"">​Manual excel</span></span><br>",,"Y",,"False","0","Logistics & Operations","False","SAVOSTIANOFF Igor",,,"Item","9/1/2026 12:27 AM","6/4/2021 8:41 AM","AHMED SHARIFF Mohammed","313",
"Finance","Procure to pay","Accounts Payable Booking","AP Booking Corporate","Delivery","Yes","Booking of local expenses in Accounting system, C-Mona & C&Go","Finance","GBS - Finance Logistics Delivery","OGU_201650","Finance","1. Payables","Active","Per nb of Invoices booked","Booking of local expenses in Accounting system, C-Mona & C&Go","Procure to pay","Agency","Yes","HO Cost control Dept","ALL BUs","<div>Ocean/SAP</div>",,"Y",,"False","0","Finance & performance","False","SAVOSTIANOFF Igor",,,"Item","9/1/2026 12:28 AM","6/4/2021 8:41 AM","AHMED SHARIFF Mohammed","316",
"Finance","Procure to pay","Accounts Payable Booking","AP Booking Modular","Delivery","Yes","Booking and reconciliation of Transport and Feeder invoices in LARA. Interfacing to account system. Few exceptions are booked directly in ERP","Finance","GBS - Finance Logistics Delivery","OGU_201650","Finance","1. Payables","Active","Per nb of Invoices booked","Booking and reconciliation of Transport and Feeder invoices in LARA. Interfacing to account system. Few exceptions are booked directly in ERP
","Procure to pay","Agency","Yes","HO Cost control Dept","SHIPPING","<span style=""color&#58;black;"">​<div style=""margin&#58;0px;background-color&#58;rgb(255, 255, 255);font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;""><b>GBSI</b></div><div style=""margin&#58;0px;background-color&#58;rgb(255, 255, 255);font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;""><div style=""margin&#58;0px;""><span style=""margin&#58;0px;"">Ocean&#160;</span><span style=""margin&#58;0px;"">R11 &amp; R12 /&#160;</span><span style=""margin&#58;0px;"">Sage /&#160;</span><span style=""margin&#58;0px;"">LISA&#160;</span><div style=""margin&#58;0px;""><p style=""margin&#58;0px;""><br></p><p style=""margin&#58;0px;""><b>GBSC</b></p><div style=""margin&#58;0px;""><span style=""margin&#58;0px;background-color&#58;rgb(255, 255, 255);display&#58;inline !important;"">Oracle Discoverer - China/Japan/Korea/Taiwan</span><br></div><p style=""margin&#58;0px;"">C-report &#160;- HongKong<br></p><div style=""margin&#58;0px;""><p style=""margin&#58;0px;""><br></p><p style=""margin&#58;0px;"">Split type&#58; Trade / Modular / Corporate</p></div></div></div></div></span><br>","<span style=""color&#58;black;""><a href=""/sites/CMA-GlobalBusinessServices/Shared%20Documents/Forms/AllItems.aspx?ga=1&amp;id=/sites/CMA-GlobalBusinessServices/Shared%20Documents/Shared%20KPIs/F%26A%20processes%20-%20volume%20of%20transaction%20PIC%20%26%20data%20source/Procure%20to%20Pay/AP%20Payment&amp;viewid=4d22bbf0-1e02-4f79-9aaa-fb82a4b4c210"" title=""​GBS Governance SharePoint"">​GBS Governance SharePoint</a></span><br>","Y",,"False","0","Finance & performance","False","SAVOSTIANOFF Igor",,,"Item","9/1/2026 12:28 AM","6/4/2021 8:41 AM","AHMED SHARIFF Mohammed","317",
"Finance","Procure to pay","Accounts Payable Booking","AP Booking Trade","Delivery","Yes","Booking of Trade costs (except modular and corporate invoices) in Accounting System, LARA or VCR. ","Finance","GBS - Finance Logistics Delivery","OGU_201650","Finance","1. Payables","Active","Per nb of Invoices booked","Booking of Trade costs (except modular and corporate invoices) in Accounting System, LARA or VCR. 
","Procure to pay","Agency","Yes","HO Cost control Dept","ALL BUs","<span style=""color&#58;black;""><b>​</b></span><b>GBSI</b></div><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(0, 0, 0);""><div style=""margin-top&#58;0px;margin-bottom&#58;0px;""><span>Ocean&#160;</span><span style=""font-size&#58;11pt;"">R11 &amp; R12 /&#160;</span><span style=""font-size&#58;11pt;"">Sage /&#160;</span><span style=""font-size&#58;11pt;"">LISA&#160;</span><div><p><br></p><p><b>GBSC</b></p><div style=""margin-top&#58;0px;margin-bottom&#58;0px;""><span style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;background-color&#58;rgb(255, 255, 255);display&#58;inline !important;"">Oracle Discoverer - China/Japan/Korea/Taiwan</span><br></div><p>C-report &#160;- HongKong<br></p><div style=""""><p><br></p><p>Split type&#58; Trade / Modular / Corporate</p><br></div><br><p></p><br></div></div>","<a href=""/sites/CMA-GlobalBusinessServices/Shared%20Documents/Forms/AllItems.aspx?ga=1&amp;id=/sites/CMA-GlobalBusinessServices/Shared%20Documents/Shared%20KPIs/F%26A%20processes%20-%20volume%20of%20transaction%20PIC%20%26%20data%20source/Procure%20to%20Pay/AP%20Payment&amp;viewid=4d22bbf0-1e02-4f79-9aaa-fb82a4b4c210"" title=""GBS Governance Sharepoint"">GBS Governance Sharepoint</a>","Y",,"False","0","Finance & performance","True","SAVOSTIANOFF Igor",,,"Item","9/1/2026 12:28 AM","6/4/2021 8:41 AM","AHMED SHARIFF Mohammed","318",
"Finance","Procure to pay","Accounts Payable Classification","AP Classification","Delivery","Yes","Reception of Supplier invoices. Split and Merge process. Splitting by cost type to ensure routing to the correct AP Booking team.","Finance","GBS - Finance Logistics Delivery","OGU_201653","Finance","1. Payables","Active","Per nb of invoices","Reception of Supplier invoices.  Splitting by cost type to ensure routing to the correct AP Booking team.","Procure to pay","Agency","Yes","HO Cost control Dept","ALL BUs",,,"N",,"False","0","Finance & performance","False","SAVOSTIANOFF Igor",,,"Item","9/1/2026 12:28 AM","6/4/2021 8:41 AM","AHMED SHARIFF Mohammed","319",
"Finance","Procure to pay","Accounts Payable Helpdesk","AP Helpdesk","Delivery","Yes","Handling of all queries from Suppliers. Follow up with various stakeholders within the group to resolve RFI's. Act as VMD requestor.","Finance","GBS - Finance Logistics Delivery","OGU_201651","Finance","1. Payables","Active","Per nb of calls and emails","Handling of all queries from Suppliers. Follow up with various stakeholders within the group to resolve RFI's. Act as VMD requestor.","Procure to pay","Agency","No","HO Cost control Dept","ALL BUs",,,"N",,"False","0","Finance & performance","False","SAVOSTIANOFF Igor",,,"Item","9/1/2026 12:28 AM","6/4/2021 8:41 AM","AHMED SHARIFF Mohammed","320",
"Finance","Procure to pay","Accounts Payable Payment","AP payment","Delivery","Yes","Performing the payment initiation in ERP's. Pushing to the approver to release the payment to the supplier","Finance","GBS - Finance Logistics Delivery","OGU_201652","Finance","1. Payables","Active","Per nb of invoices","Performing the payment initiation in ERP's. Pushing to the approver to release the payment to the supplier
","Procure to pay","Agency","Yes","HO Cost control Dept","ALL BUs","<div>OCEAN</div>","<a href=""/sites/CMA-GlobalBusinessServices/Shared%20Documents/Forms/AllItems.aspx?ga=1&amp;id=/sites/CMA-GlobalBusinessServices/Shared%20Documents/Shared%20KPIs/F%26A%20processes%20-%20volume%20of%20transaction%20PIC%20%26%20data%20source/Procure%20to%20Pay/AP%20Payment/GBSI%20working%20files&amp;viewid=4d22bbf0-1e02-4f79-9aaa-fb82a4b4c210"" title=""GBS Sharepoint link"">GBS Sharepoint link</a>","Y",,"False","0","Finance & performance","False","SAVOSTIANOFF Igor",,,"Item","9/1/2026 12:28 AM","6/4/2021 8:41 AM","AHMED SHARIFF Mohammed","321",
"Finance","Procure to pay","Other Procure to Pay","AP Reporting","Delivery","Yes","Preparation of AP related reports","Finance","GBS - Finance Logistics Delivery","OGU_201655","Finance","1. Payables","Active","Per nb of report send","Preparation of AP related reports
","Procure to pay","Agency","No","HO Cost control Dept","ALL BUs",,,"Y",,"False","0","Finance & performance","False","SAVOSTIANOFF Igor",,,"Item","9/1/2026 12:28 AM","6/4/2021 8:41 AM","AHMED SHARIFF Mohammed","322",
"Finance","Procure to pay","Accounts Payable Helpdesk","AP RFI Resolution","Delivery","Yes","Contact the ROI responders across the group (agency Finance / ILS team /RCC /PCR /Equipment team etc) to provide resolution ","Finance","GBS - Finance Logistics Delivery","OGU_201651","Finance","1. Payables","Active","Per nb of RFI resolved","Send RFIs, request for information to provide resolution","Procure to pay","Agency","No","HO Cost control Dept","ALL BUs",,,"N",,"False","0","Finance & performance","False","SAVOSTIANOFF Igor",,,"Item","9/1/2026 12:28 AM","6/4/2021 8:41 AM","AHMED SHARIFF Mohammed","323",
"Finance","Procure to pay","Accounts Payable Helpdesk","AP SOA","Delivery","Yes","Reconciliation of the Statement of Account of the Suppliers ","Finance","GBS - Finance Logistics Delivery","OGU_201651","Finance","1. Payables","Active","Per nb of statement of account send","Reconciliation of the Statement of Account of the Suppliers 
","Procure to pay","Agency","No","HO Cost control Dept","ALL BUs",,,"Y",,"False","0","Finance & performance","False","SAVOSTIANOFF Igor",,,"Item","9/1/2026 12:28 AM","6/4/2021 8:41 AM","AHMED SHARIFF Mohammed","324",
"Finance","Procure to pay","Other Procure to Pay","AP Vendor Order","Delivery","Yes","Responsible in raising the vendor master request in CIRA","Finance","GBS - Finance Logistics Delivery","OGU_201655","Finance","1. Payables","Active","Per request","Raise the vendor master request in CIRA
","Procure to pay","Agency","Yes","HO Cost control Dept","SHIPPING",,,"Y",,"False","0","Finance & performance","False","SAVOSTIANOFF Igor",,,"Item","9/1/2026 12:28 AM","6/4/2021 8:42 AM","AHMED SHARIFF Mohammed","326",
"Finance","Order to cash","Accounting Receivable Helpdesk","AR - Helpdesk","Delivery","Yes","Follow-up and chasing customers to clear aged unapplied receipts","Finance","GBS - Finance Shipping Delivery","OGU_201619","Finance","2. Receivables","Active","Per nb of calls and emails","Follow-up and chasing customers to clear aged unapplied receipts","Order to cash","Agency","Yes","HO Credit Management Dept","ALL BUs",,,"Y",,"False","0","Finance & performance","False","SAVOSTIANOFF Igor",,,"Item","9/1/2026 12:28 AM","6/4/2021 8:42 AM","AHMED SHARIFF Mohammed","333","Aligned as per HR OGU referentials"
"Finance","Order to cash","Accounts receivable Invoicing","AR invoicing","Delivery","Yes","Manual invoicing for non LARA invoices e.g. container sales, commission invoices, etc","Finance","GBS - Finance Logistics Delivery","OGU_201645","Finance","2. Receivables","Active","Per nb of Invoices","Manual invoicing for non LARA invoices e.g. container sales, commission invoices, etc","Order to cash","Agency","Yes","HO Accounting Dept","ALL BUs","<div>Disco/FICA Datamart/LARA MIRROR</div>","<span style=""color&#58;black;""><a href=""/sites/CMA-GlobalBusinessServices/Shared%20Documents/Forms/AllItems.aspx?ga=1&amp;id=/sites/CMA-GlobalBusinessServices/Shared%20Documents/Shared%20KPIs/F%26A%20processes%20-%20volume%20of%20transaction%20PIC%20%26%20data%20source/Order%20to%20Cash/AR%20invoicing&amp;viewid=4d22bbf0-1e02-4f79-9aaa-fb82a4b4c210"" title=""​GBS Sharepoint link"">​GBS Sharepoint link</a></span><br>","Y",,"False","0","Finance & performance","False","SAVOSTIANOFF Igor",,,"Item","9/1/2026 12:28 AM","6/4/2021 8:43 AM","AHMED SHARIFF Mohammed","340",
"Finance","Order to cash","Accounts receivable Receipt Processing","AR Receipt processing","Delivery","Yes","Matching the customer payment against the invoices with the support of remittance copies","Finance","GBS - Finance Logistics Delivery","OGU_201644","Finance","2. Receivables","Active","Per Receipt","Matching the customer payment against the invoices with the support of remittance copies","Order to cash","Agency","Yes","HO Accounting Dept","ALL BUs","<div><font color=""#000000"">Ocean R11, R12 / SAGE / LISA<p><br></p><div style=""margin-top&#58;0px;margin-bottom&#58;0px;""><span>CQ (Ocean)<br></span><div>Exclude<br></div><div>1) Reversal reason = payment reversals (deleted)<br></div><div>2) Type = MISC. Only considers &quot;CASH&quot;<br></div><div><br></div><div>CQ (FICA - uses teradata)<br></div><div>Customised query using &#58; Volume = No. of &quot;Payment Lot&quot; lines.<br></div><div>FICA &amp; datamart has 48hrs gap.<br></div><div>WD3 or WD4 to extract. <br></div><div><br></div><div>GBSI (FICA uses manual tracking file and not teradata)<br></div><div>Due to FICA datamart not updated real time, GBSI uses manual tracking file - ready by D+2.<br></div><div>- By number of payment lots created by GBSI, ignore those created by agency<br></div><div><br></div><div>GBSI (SAGE uses manual tracking file)<br></div><div>&#160;- updates daily and shared to MIS team monthly on D+2<br></div><span>- By number of payments created by GBSI, ignore those created by agency</span><br></div></font></div>","<span style=""color&#58;black;""><a href=""/sites/CMA-GlobalBusinessServices/Shared%20Documents/Forms/AllItems.aspx?ga=1&amp;id=/sites/CMA-GlobalBusinessServices/Shared%20Documents/Shared%20KPIs/F%26A%20processes%20-%20volume%20of%20transaction%20PIC%20%26%20data%20source/Order%20to%20Cash/AR%20Receipt%20Processing&amp;viewid=4d22bbf0-1e02-4f79-9aaa-fb82a4b4c210"" title=""​GBS Governance SharePoint"">​GBS Governance SharePoint</a></span><br>","Y",,"False","0","Finance & performance","True","SAVOSTIANOFF Igor",,,"Item","9/1/2026 12:28 AM","6/4/2021 8:43 AM","AHMED SHARIFF Mohammed","342",
"Finance","Order to cash","Accounts receivable refund","AR Refund","Delivery","Yes","Excess/Double payment/Deposit charges are refunded back to the customers basis their request ","Finance","GBS - Finance Logistics Delivery","OGU_201647","Finance","2. Receivables","Active","Per refund","Excess/Double payment/Deposit charges are refunded back to the customers basis their request ","Order to cash","Agency","Yes","HO Accounting Dept","ALL BUs",,,"Y",,"False","0","Finance & performance","False","SAVOSTIANOFF Igor",,,"Item","9/1/2026 12:28 AM","6/4/2021 8:44 AM","AHMED SHARIFF Mohammed","344",
"Shipping Ops, Log & Interm","Partnership agreement","Partnership Agreement","As Used - Forwarding order, Settlement order & Invoice","Delivery","Yes",,"Business - Pool","GBS - Intermodal and Operations Shipping Delivery","OGU_201717","Industrial Assets","Pool","Active","Per nb of Forwarding order, Settlement order & Invoice  ","Extracting the Forwarding Orders and Settlement Order for the Partners. Getting confirmation from Partner for the Settlement order. Creating Invoice after confirmation from partner and sending Invoice to the partners","POOL Agreement Monitoring","Head Office","Yes","HO Partnership Agreement Dept","SHIPPING","<span style=""color&#58;black;"">​<div style=""margin&#58;0px;background-color&#58;rgb(255, 255, 255);font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;""><span style=""margin&#58;0px;color&#58;black;"">​</span><span style=""margin&#58;0px;color&#58;black;"">​SharePoint</span></div><div style=""margin&#58;0px;background-color&#58;rgb(255, 255, 255);font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;""><span style=""margin&#58;0px;color&#58;black;""><p style=""margin&#58;0px;""><br></p><div style=""margin&#58;0px;"">Reports<br></div></span></div><br></span><br>","<span style=""color&#58;black;""><a href=""/sites/CMA-MasterDataTeamsite/Archive%20form%20MIRA/Forms/AllItems.aspx?id=/sites/CMA-MasterDataTeamsite/Archive%20form%20MIRA/LARA%20PARTNER%20GROUP%20TEAMS/Team_Internal_Chennai%20new/PA%20ASUSED/Reports/2022&amp;viewid=e1e99554-69a3-49e2-9520-c012eaa5b3be"" title=""​Sharepoint"">​Sharepoint</a></span><br>","Y",,"False","0","Logistics & Operations","False","SAVOSTIANOFF Igor",,,"Item","9/1/2026 12:28 AM","6/4/2021 8:44 AM","AHMED SHARIFF Mohammed","351",
"Shipping Ops, Log & Interm","Partnership agreement","Partnership Agreement","As Used - Partnership Agreement Creation/Amendment","Delivery","Yes",,"Business - Pool","GBS - Intermodal and Operations Shipping Delivery","OGU_201717","Industrial Assets","Pool","Active","Per nb of PA Creation/Amendment (Lines) ","Create and Amend “Partnership Agreement” in LISA to allow 3PF customers and CMA CGM subsidiaries to use loading space (Container slot) of the vessel belongs to CMA CGM.","POOL Agreement Monitoring","Head Office","Yes","HO Partnership Agreement Dept","SHIPPING","<span style=""color&#58;black;"">​SharePoint<p><br></p><p>Report name&#58;&#160;Reports</p></span><br>","<span style=""color&#58;black;""><a href=""/sites/CMA-MasterDataTeamsite/Archive%20form%20MIRA/Forms/AllItems.aspx?id=/sites/CMA-MasterDataTeamsite/Archive%20form%20MIRA/LARA%20PARTNER%20GROUP%20TEAMS/Team_Internal_Chennai%20new/PA%20ASUSED/Reports&amp;viewid=e1e99554-69a3-49e2-9520-c012eaa5b3be"" title=""​SharePoint"">​SharePoint</a></span><br>","Y",,"False","0","Logistics & Operations","False","SAVOSTIANOFF Igor",,,"Item","9/1/2026 12:28 AM","6/4/2021 8:45 AM","AHMED SHARIFF Mohammed","354",
"Commercial & Add Value Activities","Transverse Commercial","Commercial Process Improvement","Tender Quality & Control","Delivery","Yes","Review data/files during Tender process and LARA integration files.","Business - Commercial","GBS - Commercial Shipping Delivery","OGU_201697","Business","Line Management","Active","Per nb of quote lines","Nb of Quoted lanes in each Tender round",,"HO / RO / Agency","No","HO Global Account Dept","SHIPPING","<div>WTT / Email</div>","<span style=""color&#58;black;"">​<a href=""https&#58;//ga-tender.cma-cgm.com/"">https&#58;//ga-tender.cma-cgm.com/</a></span><br>","Y","NA - GBS","True","0","Pascaline Barone","False","SAVOSTIANOFF Igor",,,"Item","9/1/2026 12:28 AM","6/4/2021 8:45 AM","AHMED SHARIFF Mohammed","358",
"Finance","Record to report","Bank Reconciliation","Bank Reconciliation","Delivery","Yes","Reconciling of bank book and cash book","Finance","GBS - Finance Logistics Delivery","OGU_201658","Finance","3. Accounting","Active","Per statement lines","Reconciling of bank book and cash book","Accounting","Agency","Yes","HO Accounting Dept","ALL BUs","<div><font color=""#000000"">OCEAN / SAGE</font></div>","<span style=""color&#58;black;""><a href=""/sites/CMA-GlobalBusinessServices/Shared%20Documents/Forms/AllItems.aspx?ga=1&amp;id=/sites/CMA-GlobalBusinessServices/Shared%20Documents/Shared%20KPIs/F%26A%20processes%20-%20volume%20of%20transaction%20PIC%20%26%20data%20source/Record%20to%20Report/Bank%20Reconciliation&amp;viewid=4d22bbf0-1e02-4f79-9aaa-fb82a4b4c210"" title=""​GBS Sharepoint link"">​GBS Sharepoint link</a></span><br>","Y",,"False","0","Finance & performance","False","SAVOSTIANOFF Igor",,,"Item","9/1/2026 12:28 AM","6/4/2021 8:45 AM","AHMED SHARIFF Mohammed","362",
"Finance","Record to report","Working Capital Requirement BFR","BFR","Delivery","Yes","Understanding of fund positioning arising out of trade payables and receivables booked in Agency books via MGA and Integrate into Carrier books. Follow up on pending freight, Debit Note, MGA settlement and make sure that there is no intercompany variance etc","Finance","GBS - Finance Shipping Delivery","OGU_201632","Finance","3. Accounting","Active","Per entries posted","Understanding of fund positioning arising out of trade payables and receivables booked in Agency books via MGA and Integrate into Carrier books. Follow up on pending freight, Debit Note, MGA settlement and make sure that there is no intercompany variance etc
","Accounting","Head Office","Yes","HO Accounting Dept","SHIPPING",,,"Y",,"False","0","Finance & performance","False","SAVOSTIANOFF Igor",,,"Item","9/1/2026 12:28 AM","6/4/2021 8:46 AM","AHMED SHARIFF Mohammed","364",
"Customer Care","Other Customer Care","Customized Services","Blank Forms","Delivery","Yes","GBSI receives stationary (Blank Forms) order request from agencies. Same to be validated and processed to create orders with the vessel details and share the order details to CMA Ships for loading procedures. 

Blank forms shipments needs to be tracked by the GBSI team till delivered to the POD agencies.","Business - Customer Care","GBS - Customer Care Shipping Delivery","OGU_201855","Business","Customer Care","Active","Per nb of requests","No. of request received in Outlook","HO Documentation","Head Office",,"HO Documentation Dept","SHIPPING","<div> Local Excel database</div>",,"Y",,"False","0","Sales & Customer Care","False","SAVOSTIANOFF Igor",,,"Item","9/1/2026 12:28 AM","6/4/2021 8:46 AM","AHMED SHARIFF Mohammed","365",
"Customer Care","Service Delivery","Booking","Booking Amendments","Delivery","Yes","Any change request post confirmation (reservation) of the booking from customer or internal teams to amend any data element in Booking viz. Routing, vessel, container type etc…","Business - Customer Care","GBS - Customer Care Shipping Delivery","OGU_201665","Business","Customer Care","Active","Per nb of Booking Amendments Confirmed","Any change request post confirmation (reservation) of the booking from customer or internal teams to amend any data element in Booking viz. Routing, vessel, container type etc…","Booking","Agency","Yes","HO GEN Dept","SHIPPING","<div><span style=""color&#58;black;"">​</span><b>Nova Analytics (Sales force)</b></div><div><p><i><u>Category&#58;</u> Booking amendments<br></i></p><p><i><u>Period&#58;</u> Current Month / Quarter / Week / Day</i></p></div>","<span style=""color&#58;black;""><i><a href=""https&#58;//cma-cgm.lightning.force.com/one/one.app#eyJjb21wb25lbnREZWYiOiJ3YXZlOndhdmVIb21lVGFiIiwiYXR0cmlidXRlcyI6eyJhc3NldElkIjoiMEZLNXAwMDAwMDBMUEI3R0FPIiwiYXNzZXRUeXBlIjoiZGFzaGJvYXJkIiwiZm9sZGVySWQiOiIwMGwwTjAwMDAwMGFlNkhRQVEifSwic3RhdGUiOnt9fQ%3D%3D"" title=""​Nova Analytics"">​Nova Analytics</a></i></span><br>","N",,"True","0","Sales & Customer Care","False","SAVOSTIANOFF Igor",,,"Item","9/1/2026 12:28 AM","6/4/2021 8:46 AM","AHMED SHARIFF Mohammed","367","Due to Customer care HO alignment
PL 1 - Changed from Booking to Service Delivery"
"Finance","Record to report","Other Record to Report","Captain Statement of Accounts","Delivery","Yes","Reception of captain statement of accounts. Book expenses in ERP, and reconcile with Cash arranged to Master ","Finance","GBS - Finance Logistics Delivery","OGU_201659","Finance","3. Accounting","Active","Per nb of Vessel ","Reception of captain statement of accounts. Book expenses in ERP, and reconcile with Cash arranged to Master 
","Accounting","Head Office","Yes","HO Accounting Dept","SHIPPING",,,"Y",,"False","0","Finance & performance","False","SAVOSTIANOFF Igor",,,"Item","9/1/2026 12:28 AM","6/4/2021 8:46 AM","AHMED SHARIFF Mohammed","374",
"Customer Care","Service Delivery","Cargo Readiness","Cargo Readiness Check","Delivery","Yes",,"Business - Customer Care","GBS - Customer Care Shipping Delivery","OGU_201808","Business","Customer Care","Active","Per nb of containers","Ensure local cargo’s readiness by checking doc/custom/ESI/VGM submission status before vessel ETA
","Cargo Readiness","Agency","Yes","HO GEN Dept","SHIPPING","<span style=""color&#58;black;"">​</span>Manual excel tracker",,"Y",,"False","0","Sales & Customer Care","True","SAVOSTIANOFF Igor",,,"Item","9/1/2026 12:28 AM","6/4/2021 8:47 AM","AHMED SHARIFF Mohammed","384","Due to Customer care HO alignment
PL 1 - Changed from Customer service - Cargo Readiness to Service Delivery"
"Customer Care","Service Delivery","Cargo Readiness","Cargo Readiness Consolidation & Handover Report","Delivery","Yes",,"Business - Customer Care","GBS - Customer Care Shipping Delivery","OGU_201808","Business","Customer Care","Active","Per nb of containers","Consolidate customer response and send to agency by end of the shift to take further action from their end.
","Cargo Readiness","Agency","Yes","HO GEN Dept","SHIPPING","<span style=""margin&#58;0px;color&#58;black;font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;14.6667px;background-color&#58;rgb(255, 255, 255);"">​</span><span style=""color&#58;rgb(0, 0, 0);font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;14.6667px;background-color&#58;rgb(255, 255, 255);display&#58;inline !important;"">Manual excel tracker</span><br>",,"N",,"False","0","Sales & Customer Care","True","SAVOSTIANOFF Igor",,,"Item","9/1/2026 12:28 AM","6/4/2021 8:47 AM","AHMED SHARIFF Mohammed","385","""Due to Customer care HO alignment
PL 1 - Changed from Customer service - Cargo Readiness to Service Delivery"
"Customer Care","Service Delivery","Cargo Readiness","Cargo Readiness Off Catalog Tasks","Delivery","Yes",,"Business - Customer Care","GBS - Customer Care Shipping Delivery","OGU_201808","Business","Customer Care","Active","Per nb of container","Cancel bookings if no Activity or cancellation response from the customer.
","Cargo Readiness","Agency","Yes","HO GEN Dept","SHIPPING","<span style=""color&#58;black;"">​<span style=""margin&#58;0px;color&#58;black;font-family&#58;Calibri, Arial, Helvetica, sans-serif;background-color&#58;rgb(255, 255, 255);"">​</span><span style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;background-color&#58;rgb(255, 255, 255);display&#58;inline !important;"">Manual excel tracker</span></span><br>",,"N",,"False","0","Sales & Customer Care","False","SAVOSTIANOFF Igor",,,"Item","9/1/2026 12:28 AM","6/4/2021 8:48 AM","AHMED SHARIFF Mohammed","386","Due to Customer care HO alignment
PL 1 - Changed from Customer service - Cargo Readiness to Service Delivery"
"Shipping Ops, Log & Interm","Container Fleet Management","Equipment Management","Container Misuse","Delivery","Yes",,"Ind. Assets - Container Fleet Management","GBS - Container Fleet Management Shipping Delivery","OGU_201699","Industrial Assets","Equipment Mgt","Active","Per Container Move misuse","Review Misuse form received from Agency. Create Misuse reference.
Follow up for On Hire Move creation (if not available) and Misuse fee invoicing.","Equipment management","Head Office","Yes","HO Logistics Dept","SHIPPING","<span style=""color&#58;black;"">​SharePoint<p><br></p><div style=""margin-top&#58;0px;margin-bottom&#58;0px;"">Report&#58; SSC Misuse Follow up report 2021.xlsx<p><br></p><p><br></p><br></div></span><br>","<a href=""/&#58;x&#58;/s/CMA-LogisticDepartment/EXWXouC9t4xPrAUYugPBj0sBgZtPxH1kSml-JXUPgeMJzQ?e=4&#58;ykJhcr&amp;at=9&amp;CID=5A8A88BF-E913-4B69-A92B-8C7B64628F1C&amp;wdLOR=c5F9B1B08-E66D-4A24-82FD-0F42A8B3C049"" title=""Sharepoint"">Sharepoint</a>","Y",,"False","0","Logistics & Operations","False","SAVOSTIANOFF Igor",,,"Item","9/1/2026 12:28 AM","6/4/2021 8:49 AM","AHMED SHARIFF Mohammed","405",
"Finance","Procure to pay","Cost control","Cost control","Delivery","Yes","Controlling incoming invoices manually as per IAP matrix in ERP tool or using VCR tool for trade Invoices ","Finance","GBS - Finance Shipping Delivery","OGU_201623","Finance","1. Payables","Active","Per invoice approved","Controlling incoming invoices manually as per IAP matrix in ERP tool or using VCR tool for trade Invoices ","Cost control","Agency","Yes","HO Cost Control Dept","SHIPPING","<div><span style=""color&#58;black;"">​</span>VCR / Ocean / CIRA / SAGE</div>","<span style=""color&#58;black;""><a href=""/sites/CMA-GlobalBusinessServices/Shared%20Documents/Forms/AllItems.aspx?ga=1&amp;id=/sites/CMA-GlobalBusinessServices/Shared%20Documents/Shared%20KPIs/F%26A%20processes%20-%20volume%20of%20transaction%20PIC%20%26%20data%20source/Procure%20to%20Pay/Cost%20Control&amp;viewid=4d22bbf0-1e02-4f79-9aaa-fb82a4b4c210"" title=""​GBS Sharepoint link"">​GBS Sharepoint link</a></span><br>","Y",,"False","0","Finance & performance","True","SAVOSTIANOFF Igor",,,"Item","9/1/2026 12:28 AM","6/4/2021 8:49 AM","AHMED SHARIFF Mohammed","406",
"Finance","Procure to pay","Cost control","Cost control - Dispute Handling","Delivery","Yes","Business rejections of the Invoices (Mismatch in Quantities or Tariffs). Raise the dispute with supplier by Cost Control team looping the APHD. APHD do the follow up later with supplier ","Finance","GBS - Finance Shipping Delivery","OGU_201623","Finance","1. Payables","Active","Per nb of rejections (Business+Quality)","Reject Invoices in case of Mismatch in Quantities or Tariffs. Raise the dispute with supplier by looping the Account Payable Help Desk. The AP helpdesk does the follow up later with supplier 
","Cost control","Agency","No","HO Cost Control Dept","SHIPPING",,,"Y",,"False","0","Finance & performance","False","SAVOSTIANOFF Igor",,,"Item","9/1/2026 12:28 AM","6/4/2021 8:50 AM","AHMED SHARIFF Mohammed","407",
